province_ifls1,district_ifls1,province,district,district_name,latitude,longitude
11,5,,,"aceh barat",4.5,96
11,6,,,"aceh besar",5.5,95.42
11,1,11,3,"aceh selatan",3,97.25
,,11,2,"aceh singkil",2.28,97.82
11,4,11,6,"aceh tengah",3.75,97.25
11,2,11,4,"aceh tenggara",3.5,97.8
11,3,11,5,"aceh timur",4.67,97.75
11,8,,,"aceh utara",5,96.75
,,92,1,"adm. mimika",-4.7,136.47
,,92,3,"adm. paniai",-3.5,136.5
13,6,13,7,"agam",-.25,100.08
54,9,54,,"aileu",-8.72,125.57
54,2,54,,"ainaro",-8.92,125.58
53,7,53,,"alor",-8.25,124.25
54,13,54,,"ambeno",-9.33,124.25
81,71,81,71,"ambon",-3.72,128.1
12,6,12,8,"asahan",3,99.5
,,14,72,"b a t a m",1.17,104
51,3,51,3,"badung",-8.5,115.33
64,71,64,71,"balikpapan",-1.28,116.83
11,71,,,"banda aceh",5.57,95.33
18,71,18,71,"bandar lampung",-5.45,105.27
32,6,32,6,"bandung",-7,107.5
32,73,32,73,"bandung",-7,107.5
,,72,2,"banggai",-1,123
16,7,16,7,"bangka",-2.25,106
35,26,35,26,"bangkalan",-7,112.92
51,6,51,6,"bangli",-8.25,115.5
63,3,63,3,"banjar",-3.42,114.85
,,63,30,"banjar baru",-3.42,114.83
63,71,63,71,"banjarmasin",-3.33,114.6
33,4,33,4,"banjarnegara",-7.5,109.83
73,3,73,3,"bantaeng",-5.5,119.83
34,2,34,2,"bantul",-7.92,110.5
33,2,33,2,"banyumas",-7.33,109.25
35,10,35,10,"banyuwangi",-8.5,114.25
63,4,63,4,"barito kuala",-3,114.5
62,4,62,4,"barito selatan",-1.7,114.8
62,5,62,5,"barito utara",-.95,114.88
73,10,73,10,"barru",-4.5,119.67
14,72,14,72,"batam",1.08,104.05
33,25,33,25,"batang",-7,109.92
15,4,15,4,"batang hari",-1.6,103.62
54,6,54,,"baukau",-8.58,126.5
32,18,32,18,"bekasi",-6.25,107
16,8,16,8,"belitung",-2.83,108
53,6,53,,"belu",-9.25,124.67
14,5,14,8,"bengkalis",1.5,101.5
17,71,17,71,"bengkulu",-3.8,102.27
,,17,,"bengkulu",-3.8,102.27
17,2,17,2,"bengkulu lebong",-3.3,102.5
17,1,17,1,"bengkulu selatan",-4.25,103
17,3,17,3,"bengkulu utara",-3,101.75
64,3,64,5,"berau",1.75,117.5
82,9,92,5,"biak numfor",-1,136
52,6,52,6,"bima",-8.5,118.75
12,76,12,76,"binjai",3.8,108.23
,,11,10,"bireuen",5.2,96.68
71,73,71,,"bitung",1.45,125.18
35,5,35,5,"blitar",-8.08,112.42
35,72,35,72,"blitar",-8.08,112.42
33,16,33,16,"blora",-7,111.5
54,12,54,,"bobonaro",-8.92,125.25
32,3,32,3,"bogor",-6.67,106.75
32,71,32,71,"bogor",-6.67,106.75
35,22,35,22,"bojonegoro",-7.25,112
71,2,71,,"bolaang mengondow",.5,124
35,11,35,11,"bondowoso",-8,114
73,11,73,11,"bone",-4.75,120.17
33,9,33,9,"boyolali",-7.83,110.25
33,29,33,29,"brebes",-7,109
13,75,13,75,"bukittinggi",-.32,100.37
51,8,51,8,"buleleng",-8.17,115
64,4,64,,"bulongan",0,114.5
73,2,73,2,"bulukumba",-5.42,120.25
,,15,9,"bungo",-6.78,110.62
15,2,15,,"bungo tebo",-1.47,102.12
72,4,72,,"buol toli-toli",.75,120.75
74,1,74,1,"buton",-5.25,122.5
32,9,32,9,"ciamis",-7.5,108.67
32,5,32,5,"cianjur",-7.17,107.08
33,1,33,1,"cilacap",-7.58,109.17
,,32,78,"cilegon",-6.21,106.3
32,11,32,11,"cirebon",-6.75,108.67
32,74,32,74,"cirebon",-6.75,108.67
54,1,54,,"cova lima",-9.33,125.33
,,14,73,"d u m a i",1.68,101.45
12,8,12,10,"dairi",2.58,98.42
12,10,12,12,"deli serdang",3.5,98.83
33,21,33,21,"demak",-6.83,110.75
51,71,51,71,"denpasar",-8.65,115.22
,,32,77,"depok",-6.4,106.82
54,8,54,,"dilli",-8.67,125.67
52,5,52,5,"dompu",-8.5,118.83
72,3,72,5,"donggala",-1,120
53,10,53,11,"ende",-8.5,121.5
73,16,73,16,"enrekang",-3.5,120
54,11,54,,"ermera",-8.75,125.42
82,5,,,"fak-fak",-4,134.5
53,8,53,9,"flores timur",-8.25,123
32,7,32,7,"garut",-7.5,107.83
51,4,51,4,"gianyar",-8.42,115.42
71,1,71,2,"gorontalo",.55,123.05
71,71,71,2,"gorontalo",.55,123.05
73,6,73,6,"gowa",-5.17,119.67
35,25,35,25,"gresik",-7.15,112.63
33,15,33,15,"grobogan",-7.08,110.08
34,3,34,3,"gunung kidul",-8,110.83
81,4,81,,"halmahera tengah",0,128
